Country Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cote d'Ivoire,1.870490208,1.346202958,1.433135653,1.409853448,1.446958157,1.297148514,1.828404226,1.414851633,1.388845659,1.323234672,1.289229741,1.238919851,1.077094803,1.199767773,1.220075069
Croatia,41.51672305,42.63666037,43.05735506,42.99852652,41.89375658,42.33350282,43.15016814,42.82778219,43.10681716,42.84423946,40.58022691,38.99814531,36.85188112,34.85600621,34.08228535
Cuba,5.933670161,6.440803974,6.818141677,7.585420143,8.512333271,9.334281814,9.620801655,9.893324282,10.26753519,10.51036267,10.6879845,10.84172708,11.05631784,11.30623992,11.51972877
Curacao,..,..,..,..,..,..,..,57.72130088,53.41580402,45.20130418,41.74788378,41.1343168,39.05770804,39.59939244,37.1654818
Cyprus,43.62047481,42.4893452,41.18495403,40.67748352,38.95006649,38.49881713,52.60570192,51.35819601,49.9205026,47.70600707,43.19898136,40.50446688,38.42873887,38.39485233,37.72334667
Czech Republic,35.84971342,35.41552787,33.47481761,31.36366543,28.03944694,23.20044463,23.77183394,24.09549297,22.46901802,20.85305546,20.00046284,18.8871923,18.88847562,17.98035452,16.5733558
Denmark,68.88152009,67.09245349,64.62079296,61.75509093,56.91417248,51.64748096,54.11349459,50.20066238,47.05368864,44.44788552,40.98106105,37.15184441,33.05848217,29.83100694,27.260792
Djibouti,1.356836648,1.340469144,1.440541186,1.350519755,1.419352732,1.743632954,1.811809939,2.012571101,2.17048544,2.129716134,2.264564195,2.306933961,2.402199604,2.469447302,2.645031003
Dominica,33.95394134,32.05455609,29.78587363,26.90189304,24.71507054,24.59478506,24.62222472,23.16472223,21.67413214,20.9040966,22.5376159,23.67955801,22.60161038,28.13619092,18.12273092
Dominican Republic,10.29130061,10.13418066,9.911657676,9.702252736,9.572016291,9.53757715,10.22891044,9.883772714,10.23351723,10.96818171,11.11720885,11.39009129,11.78288854,12.3947489,12.63139637
Ecuador,10.79443485,11.51802827,11.77495607,12.22817261,12.70975151,12.83394482,13.19584578,13.70352811,13.9651978,14.56517292,14.97225686,15.29076917,15.35353584,15.56367521,14.96254395
"Egypt, Arab Rep.",10.73804977,11.80781791,12.55493311,13.54050356,13.82780148,14.11772292,14.64110041,12.50537349,11.43549728,10.1449749,9.745108304,7.595019446,6.879140051,6.648810557,6.39391194
El Salvador,11.24015054,12.60387823,14.79502231,16.11314122,17.11848041,17.75437558,17.62890241,17.90905281,16.23619989,16.62869637,17.02231354,15.36664962,15.18459324,14.95872144,14.71107796
Equatorial Guinea,1.32051434,1.382068525,1.448641519,1.320451013,1.262280411,1.20579699,1.151519199,1.099975691,1.423293352,1.460338533,1.431552109,1.37236954,1.33785009,0.964276508,0.899638966
Eritrea,0.993100556,1.018600875,1.017746486,0.950162093,0.923143582,0.900770755,0.954842325,1.124576425,1.235116743,1.306749741,1.317480882,1.33164968,1.348491217,1.361673753,1.333819073
Estonia,34.35228229,33.57833622,32.56397751,32.60765331,33.49240382,36.86498938,37.18179728,36.8878525,36.19925501,35.52323047,33.82900582,32.27170919,30.89363368,29.46862401,28.23660017
Eswatini,3.24350328,4.248605839,4.064369487,3.986985847,3.952382567,3.939534483,3.896981354,3.825100049,4.403400943,6.188492546,3.650579494,3.617899479,3.428314636,3.260018302,3.127098693
Ethiopia,0.501886657,0.557983592,0.649074522,0.795477915,0.919517647,1.086522909,1.078665823,1.071292603,1.036321927,0.920641716,0.86268381,0.802474723,0.842176408,0.891774259,1.120082229
Faroe Islands,51.09589901,50.63576104,49.76424402,49.33830382,47.62623235,46.35691876,45.00773435,43.12715131,41.55509784,40.24234694,38.39436157,44.26323671,42.9937349,41.01501072,41.1120386
Fiji,11.95489468,12.49320376,12.8306332,13.68832721,13.89877582,14.59550174,15.30817938,16.05484719,15.09913367,14.97486985,10.12103993,7.982698942,8.551533857,8.133731025,8.253816369
Finland,52.2810664,49.12074623,45.17200366,40.31240593,36.19089846,32.84249532,31.01560893,26.76576363,23.29576565,20.03992398,16.43272283,13.83581257,11.70024014,9.799404082,8.309813394
France,56.6610742,56.00816791,55.35371679,55.04630605,55.40412753,56.16440678,56.31356303,65.29848261,64.45200878,63.73179715,62.3979875,61.13900304,60.45274079,60.39511396,60.26820789
French Polynesia,21.69987674,21.53650518,21.15976566,20.94622694,20.80812312,20.75987935,20.72847758,20.45327038,20.51452468,20.38222226,23.02109288,22.59110585,22.12288191,21.85638662,21.60181008
Gabon,2.477964847,2.892377796,2.83344512,2.788630529,2.524563205,1.779285828,2.158602093,2.297772686,1.85226282,1.32573135,1.287043557,1.059390702,0.986184987,0.971828979,0.956972117
"Gambia, The",2.924469382,3.100442034,3.074061919,3.046660998,3.105388858,3.164153969,3.076221915,2.955122106,2.882547577,2.888861021,3.562239023,3.452652685,2.911642817,2.275496943,1.862594132
Georgia,13.84684576,14.568859,15.07126441,12.70910569,12.46041809,12.6658824,14.23859018,14.45998037,26.27566339,32.13631578,31.0598169,29.66665101,27.48669579,24.04558343,21.41004559
Germany,65.76249425,66.39163548,66.72650098,67.08726845,66.71543352,65.27795742,61.99853905,66.32445389,65.39358501,63.50855351,61.80132126,59.92729552,57.70179922,55.5026645,55.30144832
Ghana,1.380404509,1.423353562,1.492985789,1.492553457,1.61148714,1.658614466,0.617632617,1.118603123,1.133713369,1.13336244,1.107451356,1.026415485,0.965809519,0.999063874,0.891595792
Gibraltar,77.83413644,78.81462799,79.48959117,77.91803023,74.31260837,73.82343894,73.32274227,72.82437189,72.31311579,71.84553211,68.72676442,..,68.74669487,..,49.48558475
Greece,56.11053563,56.03588256,56.36232223,55.84941215,54.41908602,48.05794306,46.00575657,52.4331631,51.52974335,50.29373258,47.99674502,47.63242737,47.21960392,46.89475655,46.50466804
Greenland,44.81758024,44.52281865,44.19197693,56.45379361,63.16020431,40.68192598,40.14355835,38.852066,38.52890286,35.1817796,33.48680715,31.90697345,30.50618992,28.38036788,..
Grenada,32.85406464,31.88669109,31.85882949,26.64037533,26.82768572,27.54233198,27.49831617,27.16499195,27.10146451,26.71615513,26.2862506,26.99015192,25.64779992,25.30728401,24.95038065
Guam,44.53634484,41.55052817,41.42973706,41.350488,41.28636983,41.23257058,41.18590247,41.13520608,41.08025388,..,41.8820676,41.77708496,41.87193648,42.02797332,..
Guatemala,6.929138605,7.55283118,8.846820623,9.530836373,10.11364627,10.31872619,10.34451763,9.871566549,10.24307099,10.87932178,11.41926269,11.94554012,10.79091678,10.57596375,14.80345297
Guinea,0.284426165,0.281046479,0.276073422,0.258271266,0.23275988,0.217892392,0.261548277,0.208401932,0.166756684,0.163114841,0,0,0,0,0
Guinea-Bissau,0.86562048,0.799120801,0.719741992,0.696243875,0.480225729,0.316330073,0.313808167,0.319220164,0,0,0,0,0,0,0
Guyana,10.6985918,12.28052675,13.66164129,14.66630091,15.74170792,17.16797995,18.6010178,19.71883872,20.07310905,20.33093045,20.47654268,20.68446512,20.923561,20.04608895,18.31041649
Haiti,1.471464955,1.559618883,1.535226092,1.568537872,1.594140873,1.133632503,1.112825114,1.085977994,0.500019151,0.492850999,0.485945957,0.393029912,0.387799781,0.053141327,0.052473723
Honduras,4.698959968,4.754172732,5.376260054,6.695391426,9.482396253,10.65448863,10.48907497,8.915160272,8.217416018,7.355249294,7.177655877,7.150731971,5.986219432,5.547165335,4.860479144
"Hong Kong SAR, China",56.68812933,56.12096062,55.32225413,55.55132935,55.91436971,61.01598676,60.27121504,61.25061433,62.08586178,61.45405732,61.65647327,61.82246774,61.40548078,59.78338052,59.13239542
Hungary,36.08621352,35.52482381,35.23451765,33.86434197,33.41691945,32.42888712,30.96720805,30.81336351,29.98873874,29.63480041,29.99724206,30.25919209,30.68531748,31.62563082,31.98651818
Iceland,65.88850064,66.86947825,65.43297241,65.71722055,62.91537661,61.16251638,64.17281044,60.16242415,60.44242152,59.09318591,55.29635114,51.37862391,52.2241741,50.91674918,49.49740431
India,3.800672573,3.790518449,4.102349463,4.385603534,3.50867313,3.327169976,3.165860414,3.052039165,2.850572739,2.632642117,2.44964409,2.270751774,2.086788349,1.949499439,1.842963898
Indonesia,3.56310246,3.653735601,4.640295726,5.958125951,6.448333163,8.382153312,12.86338251,14.54397822,16.87710999,15.71684962,15.26131539,12.18996752,10.27901826,4.019969034,4.118067986
"Iran, Islamic Rep.",18.95688987,22.29356224,23.47418953,28.88167701,31.76697664,33.0898723,34.04463653,35.01825579,34.61985073,36.78149307,37.6155927,38.33978275,37.46422126,38.33012391,38.23810598
Iraq,4.524184902,4.617282927,3.929989612,4.128341281,4.503992936,4.806238778,3.717785362,5.519836792,5.593107705,5.654480421,5.708345757,5.607507804,5.563890616,5.529458989,5.459299965
Ireland,49.66944044,48.27700481,48.80412929,48.7066509,50.58003379,51.3549002,49.50678113,46.66968326,44.91053243,43.89345467,42.91782356,43.45338188,43.15775166,41.10670246,40.14347626
Israel,48.17859739,45.87749088,44.76854923,44.46930699,44.47903996,44.41343207,45.42502124,45.62531517,45.89306243,46.24262793,46.68075055,43.45933215,43.15398594,42.30863804,40.77506266
Italy,46.95704524,45.73921798,44.37495743,42.59419513,45.51523125,37.79408708,37.03885147,37.96441234,37.73052037,36.99045727,36.40953969,35.3590417,34.5409,33.96284619,34.10263191
Jamaica,16.12987238,16.90960885,15.50144992,11.62251387,12.4151218,13.31869556,11.3468515,10.78609684,9.337429585,9.54474883,8.91037356,8.778293903,8.892112644,8.804136864,10.76621937
Japan,47.51463373,47.02118942,46.49115626,45.23524607,43.62508282,39.86996609,37.67143884,51.95301062,51.04456782,50.32358524,50.00939215,49.89307624,49.59109648,49.77969752,50.17606663
Jordan,12.75673817,11.5360028,11.52199538,10.99033603,10.34674748,9.026041664,7.996983584,7.348328338,6.759992147,6.143782204,5.43550869,4.497683713,4.262344843,4.028014362,4.273693548
Kazakhstan,13.7819868,14.62941475,16.57359887,17.42436375,18.66309312,20.43322683,21.6136614,23.82885046,24.74300834,25.62445262,25.77479973,25.52411462,24.89395594,23.36835074,21.85433453
Kenya,0.96791086,0.962056265,0.853187708,0.795402544,0.791761859,1.217683947,1.651039981,1.650460107,0.920789844,0.667373725,0.576372118,0.455874112,0.391076443,0.180996552,0.150224197
Kiribati,5.122333787,4.949659711,4.749177177,4.549147035,4.243581583,4.15321199,4.063388866,8.250139209,8.180064685,8.084581868,7.503775337,5.528170636,1.810642959,1.313975108,0.574325801
"Korea, Dem. People’s Rep.",3.925151139,4.163384815,4.21416416,4.183371042,4.156086483,4.875370451,4.848953855,4.823607027,4.798386636,4.773019078,4.747720229,4.722649217,4.698132449,4.674393439,4.651415804
"Korea, Rep.",53.60932762,52.06173514,48.59520118,49.07799146,45.87605348,46.89263754,49.48818225,54.46387678,57.60147019,59.23952961,60.25590162,60.46150149,58.51125997,57.08774945,55.19696942
Kosovo,..,..,..,6.109809895,6.109809895,6.109809895,6.109809895,6.109809895,6.109809895,..,..,..,..,..,..
Kuwait,22.47801018,22.44709601,22.50845698,22.17345604,21.7469875,21.49943477,19.60404775,18.74808217,17.32500401,16.12935675,15.01963154,14.11744435,13.06031805,12.19576025,9.950046686
Kyrgyz Republic,7.910133414,7.90396525,8.265896562,8.676847842,8.950656656,9.287687968,9.39709944,9.330620372,9.01921072,9.116694672,8.738712231,8.11563304,7.674758588,6.95667696,6.416488715
Lao PDR,1.126194751,1.250256288,1.324011118,1.578129817,1.575404198,1.593804955,2.111615795,1.629184225,1.650616031,1.699585078,7.014624245,10.80461685,14.00091874,14.44330382,18.74132647
Latvia,30.06273977,28.3571901,28.5430622,32.46445466,29.54220768,29.2944156,27.29661524,26.18037775,25.11270275,24.67602042,23.04234374,20.72732832,19.84003968,17.86553973,18.41839505
Lebanon,19.26969655,18.91143612,16.30744134,15.92083177,16.79374469,17.06951679,18.24352774,19.21372284,19.3214839,18.63407643,17.63484042,16.48944619,17.23496189,17.30928198,30.23742947
Lesotho,1.503591419,1.829990871,1.925296629,2.460268894,2.703211437,2.400358778,2.059572085,1.980973738,1.892234009,1.868987281,2.429222442,2.377723969,2.316821117,1.865591855,1.867574544
Liberia,0.22527942,..,..,..,..,0.05829888,0.054600159,0.062284732,0.147057147,0.228221594,0.328441781,0.256632133,0.228663206,0.200016846,0.173392001
Libya,13.02574484,13.354815,14.01461482,14.71337659,15.45541182,16.23017164,15.20575152,17.37062234,19.9103927,16.14595687,13.13272213,12.73408361,14.74008834,17.05329068,21.83938895
Liechtenstein,58.56605327,57.98199353,57.75523182,57.41420865,56.29006981,55.4272125,55.14757604,54.80064866,54.43990779,54.04809177,50.54042961,49.68235869,48.59805532,46.34922332,43.50076993
Lithuania,27.1688196,24.13983678,24.25348657,23.95483355,23.98413765,24.52189218,24.41760739,23.58680271,24.11928665,23.11482164,22.23705291,20.88489304,19.80838977,19.16552464,18.25397344
Luxembourg,56.006184,54.77038912,54.22525392,53.40270224,53.35578687,52.28323103,53.72032859,53.11528394,53.63376643,53.68493733,50.09513756,49.12606637,48.7312966,48.85829682,48.00719761
"Macao SAR, China",39.23091317,37.94895979,36.89190651,36.13837893,35.81144085,35.3324481,34.20252436,32.45417494,31.35637253,30.26905626,28.89316322,27.51002447,26.0855904,24.31815383,23.19628467
"Macedonia, FYR",27.33263443,25.56702798,26.10538311,25.90221097,23.79314105,22.44722478,22.11119592,21.13491274,19.94896508,20.36558879,19.68712211,19.10273883,18.46406369,17.84261879,17.69983365
Madagascar,0.354849895,0.344912979,0.329731,0.503721384,0.68753791,0.688984699,0.824400548,0.90499735,0.671650047,0.636140197,0.640934966,0.634863782,0.629742489,0.613330281,0.596857521
Malawi,0.608471437,0.689001837,0.733667728,0.787778195,0.968035325,1.265872353,0.780121747,0.756615775,1.002881567,1.110092402,1.412006544,0.202501673,0.111097194,0.082293863,0.062095202
Malaysia,19.29806799,18.51681314,17.66205509,17.01383583,16.60867534,16.33750966,16.65002586,16.38810807,16.39781094,15.79493551,15.73132761,15.2685971,14.5897761,14.61275706,15.51017699
